Name	Keywords	Link
Spanish	Spanish, spanish, es, spa, , Español, 	[Click here to access the doc](https://refold.link/spanish). And [here](https://refold.link/spanish-submit) to submit a resource for Spanish.
Russian	Russian, russian, ru, rus, , Русский, Russkiy	[Click here to access the doc](https://refold.link/russian). And [here](https://refold.link/russian-submit) to submit a resource for Russian.
Portuguese	Portuguese, portuguese, pt, por, , Português, 	[Click here to access the doc](https://refold.link/portuguese). And [here](https://refold.link/portuguese-submit) to submit a resource for Portuguese.
Italian	Italian, italian, it, ita, , Italiano, 	[Click here to access the doc](https://refold.link/italian). And [here](https://refold.link/italian-submit) to submit a resource for Italian.
Cantonese	Cantonese, cantonese, yu, yue, canto, 廣東話, Guǎngdōnghuà	[Click here to access the doc](https://refold.link/cantonese). And [here](https://refold.link/cantonese-submit) to submit a resource for Cantonese.
Tagalog	Tagalog, tagalog, tl, tgl, filipino, Tagalog, 	[Click here to access the doc](https://refold.link/tagalog). And [here](https://refold.link/tagalog-submit) to submit a resource for Tagalog.
Polish	Polish, polish, pl, pol, , Polski, 	[Click here to access the doc](https://refold.link/polish). And [here](https://refold.link/polish-submit) to submit a resource for Polish.
Czech	Czech, czech, cs, ces, , Čeština, 	[Click here to access the doc](https://refold.link/czech). And [here](https://refold.link/czech-submit) to submit a resource for Czech.
Quechua	Quechua, quechua, qu, que, , Runasimi, 	[Click here to access the doc](https://refold.link/quechua). And [here](https://refold.link/quechua-submit) to submit a resource for Quechua.
Hawaiian	Hawaiian, hawaiian, haw, haw, , ʻŌlelo Hawaiʻi, 	[Click here to access the doc](https://refold.link/hawaiian). And [here](https://refold.link/hawaiian-submit) to submit a resource for Hawaiian.
Basque	Basque, basque, eu, eus, , Euskara, 	[Click here to access the doc](https://refold.link/basque). And [here](https://refold.link/basque-submit) to submit a resource for Basque.
Norwegian	Norwegian, norwegian, no, nor, , Norsk, 	[Click here to access the doc](https://refold.link/norwegian). And [here](https://refold.link/norwegian-submit) to submit a resource for Norwegian.
